TGT: 230.0 | POT: 224.6 | PWM: 225.0 | ERR: 5.4 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.6 | PWM: 225.0 | ERR: 5.4 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.6 | PWM: 225.0 | ERR: 5.4 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.3 | PWM: 225.0 | ERR: 5.7 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.3 | PWM: 225.0 | ERR: 5.7 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.3 | PWM: 225.0 | ERR: 5.7 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.6 | PWM: 225.0 | ERR: 5.4 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.3 | PWM: 225.0 | ERR: 5.7 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.9 | PWM: 225.0 | ERR: 5.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.6 | PWM: 225.0 | ERR: 5.4 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.6 | PWM: 225.0 | ERR: 5.4 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.1 | PWM: 225.0 | ERR: 4.9 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.4 | PWM: 225.0 | ERR: 4.6 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.9 | PWM: 225.0 | ERR: 5.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.4 | PWM: 225.0 | ERR: 4.6 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.4 | PWM: 225.0 | ERR: 4.6 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.1 | PWM: 225.0 | ERR: 4.9 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.6 | PWM: 225.0 | ERR: 5.4 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.9 | PWM: 225.0 | ERR: 5.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.4 | PWM: 225.0 | ERR: 4.6 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.4 | PWM: 225.0 | ERR: 4.6 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.4 | PWM: 225.0 | ERR: 4.6 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.9 | PWM: 225.0 | ERR: 5.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.4 | PWM: 225.0 | ERR: 4.6 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.1 | PWM: 225.0 | ERR: 4.9 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.9 | PWM: 225.0 | ERR: 5.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.1 | PWM: 225.0 | ERR: 4.9 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.1 | PWM: 225.0 | ERR: 4.9 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.1 | PWM: 225.0 | ERR: 4.9 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.4 | PWM: 225.0 | ERR: 4.6 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 226.7 | PWM: 188.0 | ERR: 3.3 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 235.2 | PWM: 188.0 | ERR: -5.2 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 247.8 | PWM: -225.0 | ERR: -17.8 | DIR: REV | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 240.4 | PWM: -225.0 | ERR: -10.4 | DIR: REV | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 236.2 | PWM: -167.1 | ERR: -6.2 | DIR: REV | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 231.7 | PWM: -167.1 | ERR: -1.7 | DIR: REV | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 225.1 | PWM: 225.0 | ERR: 4.9 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 220.4 | PWM: 225.0 | ERR: 9.6 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 224.3 | PWM: 225.0 | ERR: 5.7 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 226.5 | PWM: 225.0 | ERR: 3.5 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 226.5 | PWM: 190.9 | ERR: 3.5 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 229.6 | PWM: 190.9 | ERR: 0.4 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 235.2 | PWM: -225.0 | ERR: -5.2 | DIR: REV | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 226.5 | PWM: -225.0 | ERR: 3.5 | DIR: REV | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 220.4 | PWM: 225.0 | ERR: 9.6 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 226.2 | PWM: 225.0 | ERR: 3.8 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 227.0 | PWM: 123.4 | ERR: 3.0 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 228.3 | PWM: 123.4 | ERR: 1.7 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: -0.7 | ERR: -0.1 | DIR: REV | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: -0.7 | ERR: -0.1 | DIR: REV | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 30.9 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 30.9 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 30.8 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 30.8 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 30.7 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 229.9 | PWM: 30.7 | ERR: 0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.4 | PWM: 14.7 | ERR: -0.4 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 14.7 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.4 | PWM: 17.1 | ERR: -0.4 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 17.1 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 229.9 | PWM: 48.9 | ERR: 0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 48.9 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 27.7 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 27.7 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 30.2 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 30.2 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.7 | PWM: -1.8 | ERR: -0.7 | DIR: REV | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: -1.8 | ERR: -0.1 | DIR: REV | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 35.1 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.1 | PWM: 35.1 | ERR: -0.1 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.4 | PWM: 13.8 | ERR: -0.4 | DIR: FWD | K: 50.00,5.00,1.00
TGT: 230.0 | POT: 230.4 | PWM: 13.8 | ERR: -0.4 | DIR: FWD | K: 50.00,5.00,1.00
